rs2296172	chr1	MACF1
rs9470794	chr6	ZFAND3
rs10842994	chr12	KLHDC5
rs17106184	chr1	FAF1
rs1535500	chr6	KCNK16
rs1531343	chr12	HMGA2
rs10923931	chr1	NOTCH2
rs2191349	chr7	DGKB
rs7961581	chr12	TSPAN8, LGR5
rs340874	chr1	PROX1
rs864745	chr7	JAZF1
rs11065756	chr12	CCDC63
rs780094	chr2	GCKR
rs4607517	chr7	GCK
rs2074356	chr12	C12orf51
rs7578597	chr2	THADA
rs6467136	chr7	GCC1, PAX4
rs7957197	chr12	HNF1A
rs243021	chr2	BCL11A
rs791595	chr7	MIR129, LEP
rs1727313	chr12	MPHOSPH9
rs6723108	chr2	TMEM163
rs972283	chr7	KLF14
rs9552911	chr13	SGCG
rs7560163	chr2	RBM43, RND3
rs515071	chr8	ANK1
rs61736969	chr13	TBC1D4
rs7593730	chr2	RBMS1
rs896854	chr8	TP53INP1
rs1359790	chr13	SPRY2
rs3923113	chr2	GRB14
rs13266634	chr8	SLC30A8
rs7403531	chr15	RASGRP1
rs2943641	chr2	IRS1
rs7041847	chr9	GLIS3
rs7172432	chr15	C2CD4A/B
rs1801282	chr3	PPARG
rs17584499	chr9	PTPRD
rs7178572	chr15	HMG20A
rs7612463	chr3	UBE2E2
rs10811661	chr9	CDKN2A/2B
rs11634397	chr15	ZFAND6
rs831571	chr3	PSMD6
rs13292136	chr9	TLE4
rs2028299	chr15	AP3S2
rs4607103	chr3	ADAMTS9
rs2796441	chr9	TLE1
rs8042680	chr15	PRC1
rs11708067	chr3	ADCY5
rs11787792	chr9	GPSM1
rs9936385	chr16	FTO
rs6769511	chr3	IGF2BP2
rs12779790	chr10	CAMK1D
rs7202877	chr16	BCAR1
rs16861329	chr3	ST6GAL1
rs1802295	chr10	VPS26A
rs391300	chr17	SRR
rs6808574	chr3	LPP
rs12571751	chr10	ZMIZ1
rs312457	chr17	SLC16A11/A13
rs6815464	chr4	MAEA
rs1111875	chr10	HHEX, IDE
rs11651052	chr17	HNF1B
rs1801214	chr4	WFS1
rs7903146	chr10	TCF7L2
rs8090011	chr18	LAMA1
rs6813195	chr4	TMEM154
rs10886471	chr10	GRK5
rs12970134	chr18	MC4R
rs702634	chr5	ARL15
rs2334499	chr11	DUSP8
rs12454712	chr18	BCL2
rs459193	chr5	ANKRD55
rs2237892	chr11	KCNQ1
rs10401969	chr19	CILP2
rs4457053	chr5	ZBED3
rs5215	chr11	KCNJ11
rs3786897	chr19	PEPD
rs35658696	chr5	PAM, PPIP5K2
rs1552224	chr11	CENTD2
rs8108269	chr19	GIPR
rs9502570	chr6	SSR1, RREB1
rs10830963	chr11	MTNR1B
rs4812829	chr20	HNF4A
rs10440833	chr6	CDKAL1
rs11063069	chr12	CCND2
rs5945326	chrX	DUSP9
rs3132524	chr6	POU5F1, TCF19
